****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 15 threads.
Cross-validation will be performed.  Folds=10.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 28x416407
Performing five EM steps to prime main algorithm
136 (QN/Block) 	Elapsed: 3.206	Loglikelihood: -4.92958e+06	(delta): 1.91765
137 (QN/Block) 	Elapsed: 3.277	Loglikelihood: -4.9296e+06	(delta): -18.9342
138 (QN/Block) 	Elapsed: 3.291	Loglikelihood: -4.92959e+06	(delta): 13.9533
139 (QN/Block) 	Elapsed: 3.326	Loglikelihood: -4.92959e+06	(delta): 0.082652
140 (QN/Block) 	Elapsed: 3.251	Loglikelihood: -4.92958e+06	(delta): 2.03639
141 (QN/Block) 	Elapsed: 3.472	Loglikelihood: -4.92958e+06	(delta): 2.76087
142 (QN/Block) 	Elapsed: 3.393	Loglikelihood: -4.92958e+06	(delta): 1.98927
143 (QN/Block) 	Elapsed: 3.321	Loglikelihood: -4.92958e+06	(delta): 3.14832
144 (QN/Block) 	Elapsed: 3.362	Loglikelihood: -4.92958e+06	(delta): 0.252923
145 (QN/Block) 	Elapsed: 3.4	Loglikelihood: -4.92959e+06	(delta): -11.5987
146 (QN/Block) 	Elapsed: 3.404	Loglikelihood: -4.92958e+06	(delta): 9.39878
147 (QN/Block) 	Elapsed: 3.332	Loglikelihood: -4.92957e+06	(delta): 4.22681
148 (QN/Block) 	Elapsed: 3.426	Loglikelihood: -4.92957e+06	(delta): 3.33863
149 (QN/Block) 	Elapsed: 3.496	Loglikelihood: -4.92957e+06	(delta): -0.0956369
150 (QN/Block) 	Elapsed: 3.632	Loglikelihood: -4.92964e+06	(delta): -69.7456
151 (QN/Block) 	Elapsed: 3.551	Loglikelihood: -4.92964e+06	(delta): 0.201495
152 (QN/Block) 	Elapsed: 3.615	Loglikelihood: -4.92964e+06	(delta): 0.465109
153 (QN/Block) 	Elapsed: 3.559	Loglikelihood: -4.92964e+06	(delta): -5.64471
154 (QN/Block) 	Elapsed: 3.632	Loglikelihood: -4.92964e+06	(delta): 4.45396
155 (QN/Block) 	Elapsed: 3.643	Loglikelihood: -4.92964e+06	(delta): 0.0397709
156 (QN/Block) 	Elapsed: 3.804	Loglikelihood: -4.92964e+06	(delta): 0.334826
157 (QN/Block) 	Elapsed: 3.305	Loglikelihood: -4.92964e+06	(delta): 0.914858
158 (QN/Block) 	Elapsed: 3.376	Loglikelihood: -4.92964e+06	(delta): -0.477615
159 (QN/Block) 	Elapsed: 3.335	Loglikelihood: -4.92964e+06	(delta): 0.102717
160 (QN/Block) 	Elapsed: 3.413	Loglikelihood: -4.92964e+06	(delta): 0.512876
161 (QN/Block) 	Elapsed: 3.446	Loglikelihood: -4.92964e+06	(delta): -0.287773
162 (QN/Block) 	Elapsed: 3.52	Loglikelihood: -4.92964e+06	(delta): -0.0672444
163 (QN/Block) 	Elapsed: 3.381	Loglikelihood: -4.92964e+06	(delta): -0.509178
164 (QN/Block) 	Elapsed: 3.404	Loglikelihood: -4.92964e+06	(delta): 0.0747717
